EUI_kWh_per_sqmt,SQMT,NFLOOR,FLCEILHT,YRCONC,MONUSE,OCCUPYP,WKHRS,NWKER,HEATP,COOLP,DAYLTP,HDD65,CDD65,PUBCLIM
177.56275359645468,22761.235,9,11,6,12,92.0,60,850,90.0,90.0,60.0,1752,3470,5
230.07617672464832,817.5464,1,8,5,12,100.0,40,4,100.0,100.0,10.0,3569,2014,4
246.7469670775353,21832.205,994,12,7,12,100.0,105,1000,100.0,100.0,30.0,4665,1544,3
330.409990358536,7989.658,4,8,2,12,100.0,40,200,100.0,95.0,20.0,3928,1725,3
363.2603522091894,575.9986,1,10,8,12,100.0,41,5,100.0,100.0,50.0,5973,1822,3
118.7603269147782,1021.933,2,10,8,12,100.0,56,40,60.0,60.0,0.0,1334,683,4
115.66738201737296,27870.9,6,10,4,12,100.0,60,100,100.0,100.0,15.0,965,1089,4
213.16430426242596,9476.106,9,10,9,12,72.0,50,150,100.0,100.0,50.0,8598,16,1
143.4089597731389,236.90265,1,8,5,12,100.0,18,10,100.0,100.0,0.0,4902,1042,2
102.4821575908923,278.709,1,8,6,12,100.0,40,6,100.0,100.0,20.0,5774,1052,2
142.88458627995507,557.418,1,8,7,12,100.0,42,13,100.0,100.0,5.0,6926,1217,2
264.5739990581575,185.806,2,20,7,12,100.0,47,2,100.0,100.0,60.0,3153,1859,4
150.47218623838356,20438.66,4,9,4,12,100.0,168,650,100.0,100.0,15.0,8620,483,1
252.18354382626993,2020.64025,1,8,4,12,50.0,50,75,100.0,100.0,40.0,7174,957,1
117.70979063969946,19509.63,1,50,8,12,90.0,50,750,100.0,100.0,30.0,4275,332,3
135.6074205149345,17837.376,4,12,7,12,100.0,60,800,75.0,75.0,10.0,6203,463,2
311.4550570641268,130.0642,2,12,4,12,100.0,45,3,65.0,40.0,20.0,6367,69,1
62.984539307557355,167225.4,995,11,6,12,85.0,65,1800,95.0,90.0,50.0,6150,1351,7
200.93062860522983,55741.8,7,9,4,12,85.0,168,1100,98.0,98.0,5.0,5722,1001,3
349.053318904022,529.5471,3,8,5,12,100.0,45,10,100.0,100.0,0.0,7151,794,1
178.32446508609925,22761.235,994,12,6,12,94.0,60,470,100.0,100.0,65.0,6947,956,2
203.23110758589476,19509.63,994,8,6,12,75.0,60,250,75.0,100.0,0.0,1464,3306,5
237.6036019339444,12077.39,3,10,8,12,100.0,168,100,100.0,100.0,25.0,5696,791,2
184.6904070700398,19974.145,4,10,9,12,100.0,125,500,100.0,100.0,25.0,1983,3612,5
540.7945285516076,167225.4,995,12,5,12,90.0,168,7500,100.0,100.0,20.0,6071,1486,7
462.6620937492152,4459.344,3,10,7,12,95.0,168,180,100.0,100.0,50.0,6371,1046,2
300.23196587148556,26941.87,994,12,2,12,97.0,168,1200,80.0,80.0,2.0,5624,1429,2
281.1748942474373,8268.367,5,9,4,12,100.0,45,178,100.0,100.0,20.0,6279,519,2
144.6206086622792,1347.0935,3,9,6,12,100.0,50,22,100.0,100.0,90.0,806,1751,4
203.06943709036747,14492.868,8,9,6,12,92.0,55,470,50.0,100.0,0.0,1155,3946,5
271.58180902524924,5109.665,2,10,4,12,100.0,168,25,95.0,95.0,0.0,2685,3015,4
152.6051828001702,882.5785,2,8,3,12,100.0,55,18,100.0,100.0,10.0,5643,931,2
192.0512918392889,25548.325,8,10,4,12,60.0,60,487,100.0,100.0,0.0,4598,1337,3
366.19608360628825,55741.8,995,12,2,12,90.0,168,1200,100.0,100.0,0.0,4679,1663,3
179.62837138152102,8732.882,3,10,7,12,95.0,40,800,95.0,100.0,25.0,5597,1076,3
355.3795176615146,4830.956,3,16,3,12,60.0,168,105,100.0,100.0,5.0,4396,1441,3
275.43793432106895,14121.256,1,15,6,12,90.0,7,800,100.0,100.0,5.0,6998,1026,2
203.42160133990757,65032.1,995,11,8,12,100.0,60,1532,78.0,78.0,20.0,1988,265,4
290.59338395530824,3019.3475,2,9,6,12,90.0,45,55,100.0,100.0,0.0,603,1681,4
190.12258880059065,11705.778,4,9,8,12,100.0,50,300,100.0,100.0,10.0,5540,1162,3
187.76641270559617,139354.5,995,13,6,12,75.0,168,2500,95.0,95.0,3.0,5150,1366,7
100.4921293874312,14307.062,5,12,8,12,96.0,50,400,75.0,96.0,50.0,956,1190,4
232.65127739918404,28335.415,994,15,2,12,70.0,62,800,100.0,100.0,50.0,7199,999,1
326.48453498687064,28335.415,7,9,6,12,100.0,60,600,100.0,100.0,30.0,4242,1569,3
55.97837227111905,9847.718,5,15,6,12,89.0,54,180,100.0,100.0,10.0,706,1437,4
53.37117904850067,195.0963,1,9,4,6,100.0,40,2,100.0,100.0,10.0,1556,2575,5
118.3706249505757,5574.18,2,10,8,12,100.0,90,205,100.0,100.0,50.0,6687,1030,2
333.8511033754442,3344.508,4,14,8,12,95.0,55,263,100.0,95.0,0.0,6649,1213,3
232.75232171817203,668.9016,1,10,8,12,100.0,35,15,100.0,100.0,40.0,4116,1884,4
454.7551631120631,13935.45,995,14,7,12,90.0,168,600,100.0,100.0,60.0,5646,1256,3
169.85450354775733,34374.11,994,14,7,12,100.0,69,1350,100.0,100.0,20.0,3555,1945,3
112.83560150423152,780.3851999999999,1,9,4,12,100.0,45,17,100.0,100.0,10.0,854,1088,4
393.7061443566588,111.4836,1,9,4,12,100.0,54,1,100.0,100.0,15.0,938,1731,4
160.46735383191046,40412.805,995,14,5,12,95.0,66,582,78.0,95.0,75.0,1362,4350,5
102.31751045532386,39019.26,9,15,5,12,90.0,60,160,43.0,43.0,10.0,5791,871,2
262.36267096671276,3623.217,4,8,6,12,75.0,65,35,100.0,100.0,50.0,4672,1137,3
154.11173814676732,26477.355,995,9,2,12,75.0,168,350,100.0,100.0,10.0,3861,2151,4
95.16204520465593,5016.762,1,20,9,12,75.0,50,95,70.0,70.0,0.0,3625,2318,4
186.20180479801513,22296.72,8,14,4,12,80.0,60,300,90.0,90.0,70.0,1088,2034,5
179.59508063645774,35767.655,6,12,6,12,95.0,65,900,100.0,75.0,10.0,7067,955,1
148.0172641326617,5574.18,4,9,7,12,70.0,40,136,75.0,75.0,20.0,1611,3085,4
110.64983800722844,3855.4745,2,9,7,12,90.0,60,84,90.0,90.0,25.0,2572,60,4
109.54238539494598,27870.9,3,30,7,12,25.0,168,20,25.0,30.0,30.0,981,912,4
