method,n,p,replication,MSE_signal,FPR,bulk_ESS,converged_alpha,rhat_max,converged_ok
AEH,100,200,40,1.814023760309811,0.9789473684210527,21.811642594421564,0.7049028838987655,2.7711850764196324,False
Horseshoe,100,200,40,0.05014038072061916,0.2789473684210526,79.87459384716314,,1.047337668309032,True
AEH,100,200,41,1.4912029062251342,0.968421052631579,21.82772404407152,0.6920316642280886,2.525120138375629,False
Horseshoe,100,200,41,0.02414078166943167,0.3526315789473684,64.90736743936823,,1.055149751579093,False
AEH,100,200,42,3.389630195043042,0.9789473684210527,21.397538457602103,0.7167372388880775,3.1369584260228343,False
Horseshoe,100,200,42,0.023769952968303573,0.3368421052631579,59.063648979812335,,1.0648637768888114,False
AEH,100,200,43,3.1890359146772633,0.9789473684210527,21.84529980709527,0.7014521305853312,2.7434886199123163,False
Horseshoe,100,200,43,0.02998018043904584,0.30526315789473685,69.097424463703,,1.0557506196184148,False
AEH,100,200,44,2.8375532438234563,0.9789473684210527,21.78568923070302,0.7188807250345932,2.9651045101033384,False
Horseshoe,100,200,44,0.04201317006979228,0.38421052631578945,68.2624715901178,,1.0409483452455384,True
AEH,100,200,45,1.3297663891335125,0.9736842105263158,21.690248670131712,0.7132422900528756,2.5755531587939116,False
Horseshoe,100,200,45,0.06151541674236728,0.3473684210526316,69.19550543471527,,1.0986602553028628,False
AEH,100,200,46,1.1791829784149006,0.9842105263157894,22.009867287181816,0.7162316084656764,2.5345056212261987,False
Horseshoe,100,200,46,0.05011873776247453,0.33157894736842103,69.7171683373475,,1.0417643086647828,True
AEH,100,200,47,1.3130141902820576,0.9421052631578948,21.61770075303187,0.7277581593392626,2.9097875360283134,False
Horseshoe,100,200,47,0.057709205111781015,0.3631578947368421,65.8203529166207,,1.049687179765524,True
AEH,100,200,48,3.377754059329426,0.9789473684210527,21.874073711380415,0.7402673320896146,2.9238623230124836,False
Horseshoe,100,200,48,0.02127374918794309,0.3105263157894737,68.88701435846654,,1.0732630211911542,False
AEH,100,200,49,0.838279474218383,0.9789473684210527,22.432996126214267,0.7099332591911524,3.2988707461394102,False
Horseshoe,100,200,49,0.036435225005814656,0.35789473684210527,69.30796258696078,,1.05515977057646,False
AEH,200,200,0,1.13093248477905,0.8105263157894737,41.711234615673575,0.5338564486872724,1.1009721483876436,False
Horseshoe,200,200,0,0.08656474314921947,0.5842105263157895,87.63983033755625,,1.0411398146751407,True
AEH,200,200,1,1.287499103171736,0.868421052631579,40.31351084444381,0.524397768944522,1.37711887477463,False
Horseshoe,200,200,1,0.09641149306860879,0.6263157894736842,80.95431789590835,,1.0479072106691476,True
AEH,200,200,2,2.36302868277506,0.9052631578947369,34.4346907410921,0.4980381752592469,1.3770349254826058,False
Horseshoe,200,200,2,0.12787216828712594,0.6578947368421053,91.96786884371294,,1.026614959232331,True
AEH,200,200,3,1.0242907787933797,0.8842105263157894,33.88769081963685,0.5164584191311441,1.13005168802882,False
Horseshoe,200,200,3,0.11198588429339691,0.6,88.6098097926389,,1.0278551026208895,True
AEH,200,200,4,0.9967027025852527,0.8052631578947368,44.44821623576603,0.5342593199177658,1.0817917832796087,False
Horseshoe,200,200,4,0.03887485214468646,0.43157894736842106,85.73140352810941,,1.0314566812810881,True
AEH,200,200,5,2.6734040610101952,0.9157894736842105,35.554140916182305,0.5210660034697541,1.4562421574747013,False
Horseshoe,200,200,5,0.141872026007965,0.6210526315789474,88.65423078078783,,1.043952906928621,True
AEH,200,200,6,1.327366433318797,0.9368421052631579,35.86938105867711,0.49347791434087446,1.393400181761032,False
Horseshoe,200,200,6,0.11900061618314547,0.6368421052631579,88.06415934701162,,1.0891263373716205,False
AEH,200,200,7,1.1257123682586099,0.8052631578947368,38.43415282963635,0.5296983570554221,1.1454426196345187,False
Horseshoe,200,200,7,0.21265511344243082,0.5789473684210527,70.75255687497362,,1.049221542655254,True
AEH,200,200,8,1.131303770644228,0.8578947368421053,39.915257897055525,0.49463098723206245,1.1949948718444903,False
Horseshoe,200,200,8,0.21812606558868639,0.6631578947368421,90.510430704238,,1.0395418077719163,True
AEH,200,200,9,1.3653382674575296,0.9105263157894737,34.04811978592734,0.47916336270387827,1.198569949678343,False
Horseshoe,200,200,9,0.19786545329373534,0.6,78.75601313888886,,1.0378348704072784,True
AEH,200,200,10,0.7643605012191376,0.8473684210526315,32.07924743711047,0.519340791365655,1.5616807204794978,False
Horseshoe,200,200,10,0.0987548338636269,0.5,72.93560503642848,,1.0581271173039966,False
AEH,200,200,11,0.953652909882225,0.8,40.690488623027065,0.5471900391138604,1.7044090434240857,False
Horseshoe,200,200,11,0.28500632262969805,0.5736842105263158,89.02501420895285,,1.0317830743225191,True
AEH,200,200,12,2.157696903050292,0.8526315789473684,40.72808286767156,0.5334350675485511,1.3065160785581404,False
Horseshoe,200,200,12,0.12657956242825108,0.5842105263157895,85.14357138651853,,1.0297809587389186,True
AEH,200,200,13,0.7183184549448354,0.7789473684210526,49.88768837196416,0.5343976891450373,1.087423960061665,False
Horseshoe,200,200,13,0.0357348420845095,0.5789473684210527,84.6536164686716,,1.0225802180186114,True
AEH,200,200,14,0.9047246436406781,0.8421052631578947,40.94575318103268,0.553713350680114,1.263961680530303,False
Horseshoe,200,200,14,0.08242208944028412,0.6736842105263158,72.89991408026398,,1.0478195431738515,True
AEH,200,200,15,0.8635722967068917,0.8894736842105263,33.69372260790779,0.5133551305892633,1.5522329289647434,False
Horseshoe,200,200,15,0.3883615499470883,0.5526315789473685,81.10668620159413,,1.0817513856787624,False
AEH,200,200,16,0.33824277517072876,0.6947368421052632,66.03964506168307,0.5193218240308356,1.062649038129498,False
Horseshoe,200,200,16,0.11390751241906709,0.5947368421052631,76.44421613972975,,1.0407725159420504,True
AEH,200,200,17,0.7296329792938662,0.8105263157894737,45.830339847563295,0.5329795348447907,1.2985296129279493,False
Horseshoe,200,200,17,0.14275477640809625,0.5368421052631579,80.7110692214278,,1.073524496178891,False
