p,rho,replication,method,wall_clock_s,MSE_signal,FPR,bulk_ESS,converged_alpha,PICP_90,rhat_max,converged_ok
50,0.7,22,AEH,7.245659600012004,,,,,,1.0538272108893008,False
50,0.7,22,Horseshoe,6.150263499992434,0.0032423701571199378,0.05,221.50873649934385,,,1.0129057707333067,True
50,0.7,22,Regularized Horseshoe,5.311306499992497,0.0033060733945973948,0.075,257.29369158184295,,,1.0053994488619171,True
50,0.7,23,AEH,6.124385600007372,0.0086035702739111,0.075,231.12086696426184,0.46172069614986355,,1.022250709701417,True
50,0.7,23,Horseshoe,5.843523799994728,0.009425735135369345,0.075,263.5053546849493,,,1.0336965289579336,True
50,0.7,23,Regularized Horseshoe,5.216740700008813,0.00979253979221017,0.075,230.89152272845587,,,1.0086104776593547,True
50,0.7,24,AEH,6.747380899993004,0.007945131309909523,0.2,226.8923550174986,0.4665867617266509,,1.0129959093724858,True
50,0.7,24,Horseshoe,6.202356499998132,,,,,,1.0532052489461363,False
50,0.7,24,Regularized Horseshoe,6.872757699980866,0.007956780931856224,0.2,247.09267447290847,,,1.0112741542689219,True
50,0.7,25,AEH,6.756602300010854,,,,,,1.0605084116653556,False
50,0.7,25,Horseshoe,5.315953100012848,0.013613918309193238,0.275,268.54838022231337,,,1.0199631895801122,True
50,0.7,25,Regularized Horseshoe,4.9009447999997064,0.012679721502087928,0.275,244.668194131013,,,1.0054876585413302,True
50,0.7,26,AEH,6.264301399991382,0.012907981381960556,0.2,188.40318456252572,0.4819392371907736,,1.0368009834332896,True
50,0.7,26,Horseshoe,5.698525499989046,0.013569061022523593,0.175,256.9524017680765,,,1.0298950392108255,True
50,0.7,26,Regularized Horseshoe,6.287594800000079,0.013455163665873826,0.175,267.362001661938,,,1.0036589780725724,True
50,0.7,27,AEH,8.64635769999586,,,,,,1.10206481485669,False
50,0.7,27,Horseshoe,7.4841447999933735,0.01157559201921576,0.1,270.5799748435496,,,1.031687286348236,True
50,0.7,27,Regularized Horseshoe,6.497013999993214,0.011905542457554213,0.1,245.8039843636208,,,1.0035110038276753,True
50,0.7,28,AEH,8.312815200013574,0.009588802901903013,0.025,257.3823481516697,0.48180087034118835,,1.0113595992900493,True
50,0.7,28,Horseshoe,7.385154999996303,0.01037250904747325,0.025,271.94305157867274,,,1.0082182439916318,True
50,0.7,28,Regularized Horseshoe,5.486401700007264,0.009393313813465427,0.025,262.92701178161457,,,1.0080712630722664,True
50,0.7,29,AEH,8.106399300013436,,,,,,1.0818152234939542,False
50,0.7,29,Horseshoe,6.909501400019508,0.0028061301973166166,0.175,246.30723571213795,,,1.0230153536735622,True
50,0.7,29,Regularized Horseshoe,6.610841100016842,0.003469972134034824,0.175,248.75084141568314,,,1.0038268669173105,True
50,0.9,0,AEH,8.014834400004474,0.012804446478206475,0.075,277.92072966785423,0.3489649344901067,,1.0115266499002096,True
50,0.9,0,Horseshoe,6.608698800002458,0.017750617631765747,0.05,223.54024125666896,,,1.0351385005325775,True
50,0.9,0,Regularized Horseshoe,5.707488399988506,0.017941576246787414,0.05,230.80551063318669,,,1.0191042279308282,True
50,0.9,1,AEH,6.036661299993284,,,,,,1.070779577103649,False
50,0.9,1,Horseshoe,5.6221197999839205,0.03176536434059216,0.15,252.27500593314838,,,1.028577377719094,True
50,0.9,1,Regularized Horseshoe,5.272911000007298,0.0328967527723213,0.15,230.24532806942182,,,1.0343320407064716,True
50,0.9,2,AEH,6.467943399999058,0.0282645993910395,0.175,256.6381201847329,0.35516654006552717,,1.0365250209327614,True
50,0.9,2,Horseshoe,6.0258614999766,0.036812066026021474,0.15,272.8168399391867,,,1.0495028355437572,True
50,0.9,2,Regularized Horseshoe,5.458040599973174,0.034310947659303134,0.15,228.4691126840529,,,1.021002312376304,True
50,0.9,3,AEH,8.413773400010541,0.02067998928852911,0.075,251.76212040424448,0.36494842907129377,,1.0087518291665247,True
50,0.9,3,Horseshoe,7.4202558000106364,0.02662561071112906,0.075,270.1356379779211,,,1.0082519128635794,True
50,0.9,3,Regularized Horseshoe,6.40565499998047,0.027106695749761146,0.05,221.40613558215503,,,1.0150264274308685,True
50,0.9,4,AEH,7.107280199998058,0.01687262647204144,0.15,270.4739775122618,0.36622052052416065,,1.041873245722024,True
50,0.9,4,Horseshoe,7.799045899999328,0.021827591837561094,0.125,270.84321329090807,,,1.0125514509906752,True
50,0.9,4,Regularized Horseshoe,5.845425000006799,0.02159832431812641,0.1,236.4600891329757,,,1.0193262591912173,True
50,0.9,5,AEH,8.192802000005031,0.04025514424729345,0.125,218.43279668420354,0.3505133585675777,,1.026363037772368,True
50,0.9,5,Horseshoe,5.6746082000026945,0.05049019811945865,0.15,259.85680853597756,,,1.0444652139536874,True
50,0.9,5,Regularized Horseshoe,7.08516050002072,0.050785102774553594,0.125,230.80721325777392,,,1.0147873430995187,True
50,0.9,6,AEH,7.753066600009333,,,,,,1.0641070783579005,False
50,0.9,6,Horseshoe,7.978055800020229,0.006140128960096823,0.175,279.92513489929314,,,1.005078091025112,True
50,0.9,6,Regularized Horseshoe,7.25880809998489,0.006076978584334043,0.15,190.53627285539199,,,1.0190307220261072,True
50,0.9,7,AEH,8.801369699998759,0.01915199000547277,0.075,216.93025641798803,0.33948486914718445,,1.0485078260183407,True
50,0.9,7,Horseshoe,6.927021300012711,0.02579548485719262,0.05,265.908869506139,,,1.019494125658094,True
50,0.9,7,Regularized Horseshoe,7.4453081999963615,0.02569976499006475,0.075,240.62736636077523,,,1.017876019265123,True
50,0.9,8,AEH,8.586059900000691,0.010311591273836294,0.1,260.552428537726,0.357675138535579,,1.0273968073307806,True
50,0.9,8,Horseshoe,7.498621999984607,,,,,,1.0513378957974437,False
50,0.9,8,Regularized Horseshoe,6.471607899991795,0.013648472264087627,0.075,228.35025971183302,,,1.0109988216308734,True
50,0.9,9,AEH,8.709544800018193,,,,,,1.0614539355184565,False
50,0.9,9,Horseshoe,8.060562600003323,,,,,,1.067356157451382,False
50,0.9,9,Regularized Horseshoe,6.663794299995061,0.0209869770422521,0.1,222.33913953326487,,,1.0171252795288284,True
50,0.9,10,AEH,7.376985900016734,0.017346433722838717,0.175,274.28350005494997,0.36722955326368023,,1.0174867535313947,True
50,0.9,10,Horseshoe,7.773735299997497,0.023336031759827378,0.2,270.04351590869777,,,1.0168877978553954,True
50,0.9,10,Regularized Horseshoe,7.031241999997292,0.01994174705815697,0.175,230.37873740999476,,,1.010102016294327,True
50,0.9,11,AEH,7.984524899977259,,,,,,1.052534528504333,False
50,0.9,11,Horseshoe,7.1307489000028,0.044807026300042324,0.1,262.75632811150865,,,1.0243025488782613,True
50,0.9,11,Regularized Horseshoe,6.721367099991767,0.046283862755886154,0.1,235.89250494721387,,,1.0134300042021873,True
50,0.9,12,AEH,7.538603599998169,0.06371460666993693,0.125,209.47653991846428,0.3482354227833993,,1.0409203224551284,True
50,0.9,12,Horseshoe,7.151820200000657,0.09139386832773985,0.125,265.4946641147748,,,1.0324860681302421,True
50,0.9,12,Regularized Horseshoe,5.745429600006901,0.09769257357931184,0.125,253.11254312770907,,,1.0197078648585405,True
50,0.9,13,AEH,5.6853515000257175,0.02882745784655171,0.175,259.0061098030743,0.3526726847642856,,1.0079078541420972,True
50,0.9,13,Horseshoe,6.148386400018353,0.03630284206491537,0.15,274.4113545242665,,,1.0097565869906613,True
50,0.9,13,Regularized Horseshoe,5.274959800008219,0.039156655624200024,0.15,242.06568723267358,,,1.0133166816193222,True
50,0.9,14,AEH,7.465925399999833,0.01069674808832968,0.125,242.84298712613102,0.35174496877279393,,1.027300702752732,True
50,0.9,14,Horseshoe,7.051112699991791,0.01274506981483077,0.125,277.471353932739,,,1.030556158879417,True
50,0.9,14,Regularized Horseshoe,6.931338599999435,0.013265538330982152,0.15,212.36653643964718,,,1.017366684786059,True
50,0.9,15,AEH,8.11484449999989,0.033627513154533065,0.15,172.58128567702536,0.35360784271082224,,1.0318610636929297,True
50,0.9,15,Horseshoe,8.026696900022216,,,,,,1.0624136366896342,False
50,0.9,15,Regularized Horseshoe,6.635409200011054,0.047936295236518295,0.075,246.65476814969833,,,1.0202974494010595,True
50,0.9,16,AEH,7.858989200001815,0.030247434143367273,0.2,265.9552516640076,0.3370192066393322,,1.0120976143699485,True
50,0.9,16,Horseshoe,7.67117600000347,0.038611155394235465,0.175,259.3358719637227,,,1.0262798404384874,True
50,0.9,16,Regularized Horseshoe,6.178458500013221,0.037993488140096426,0.175,232.9873524545407,,,1.0196054219582653,True
50,0.9,17,AEH,6.374093199992785,,,,,,1.0837011848804348,False
50,0.9,17,Horseshoe,8.044496599992272,0.027640657700982268,0.1,260.99154630378223,,,1.0106142893851617,True
50,0.9,17,Regularized Horseshoe,5.609150100004626,,,,,,1.1048993431781922,False
50,0.9,18,AEH,8.237215700006345,,,,,,1.0544070281718847,False
50,0.9,18,Horseshoe,6.406139300001087,0.013070242055292511,0.1,261.1015746164913,,,1.0210337679389223,True
50,0.9,18,Regularized Horseshoe,6.671166500018444,0.01297087380149899,0.1,251.1440049362115,,,1.0096084670976457,True
50,0.9,19,AEH,8.105156300007366,0.02820273318889855,0.2,235.5843624358341,0.3471544250137191,,1.0269519976917265,True
50,0.9,19,Horseshoe,8.07295860000886,0.03664996861403606,0.225,260.54273186799253,,,1.0383766449277076,True
50,0.9,19,Regularized Horseshoe,4.794791299995268,0.04144706281457545,0.225,240.64328886938335,,,1.0278537860282253,True
50,0.9,20,AEH,7.497521700017387,0.023407710583638615,0.075,255.78162991849808,0.3470747472003864,,1.0105446948133374,True
50,0.9,20,Horseshoe,7.997478199977195,0.03164516315301731,0.075,277.7714145632086,,,1.0126685033276794,True
50,0.9,20,Regularized Horseshoe,6.3806655000080355,0.02925899957213824,0.075,250.42871793295356,,,1.0152919530619025,True
