p,rho,replication,method,wall_clock_s
50,0.9,13,Regularized Horseshoe,5.274959800008219
50,0.9,14,AEH,7.465925399999833
50,0.9,14,Horseshoe,7.051112699991791
50,0.9,14,Regularized Horseshoe,6.931338599999435
50,0.9,15,AEH,8.11484449999989
50,0.9,15,Horseshoe,8.026696900022216
50,0.9,15,Regularized Horseshoe,6.635409200011054
50,0.9,16,AEH,7.858989200001815
50,0.9,16,Horseshoe,7.67117600000347
50,0.9,16,Regularized Horseshoe,6.178458500013221
50,0.9,17,AEH,6.374093199992785
50,0.9,17,Horseshoe,8.044496599992272
50,0.9,17,Regularized Horseshoe,5.609150100004626
50,0.9,18,AEH,8.237215700006345
50,0.9,18,Horseshoe,6.406139300001087
50,0.9,18,Regularized Horseshoe,6.671166500018444
50,0.9,19,AEH,8.105156300007366
50,0.9,19,Horseshoe,8.07295860000886
50,0.9,19,Regularized Horseshoe,4.794791299995268
50,0.9,20,AEH,7.497521700017387
50,0.9,20,Horseshoe,7.997478199977195
50,0.9,20,Regularized Horseshoe,6.3806655000080355
50,0.9,21,AEH,7.571506300009787
50,0.9,21,Horseshoe,7.211301600007573
50,0.9,21,Regularized Horseshoe,6.043579899996985
50,0.9,22,AEH,9.250313399999868
50,0.9,22,Horseshoe,6.8616075000027195
50,0.9,22,Regularized Horseshoe,6.3938914999889676
50,0.9,23,AEH,7.724533100001281
50,0.9,23,Horseshoe,7.103545899997698
50,0.9,23,Regularized Horseshoe,6.700355700013461
50,0.9,24,AEH,7.803877199999988
50,0.9,24,Horseshoe,6.729654800001299
50,0.9,24,Regularized Horseshoe,6.1922051000001375
50,0.9,25,AEH,8.647254700015765
50,0.9,25,Horseshoe,7.205132100003539
50,0.9,25,Regularized Horseshoe,5.370105599984527
50,0.9,26,AEH,5.744543900014833
50,0.9,26,Horseshoe,6.690149000001838
50,0.9,26,Regularized Horseshoe,7.635867800010601
50,0.9,27,AEH,8.724825300014345
50,0.9,27,Horseshoe,7.015232799982186
50,0.9,27,Regularized Horseshoe,6.659851200005505
50,0.9,28,AEH,7.249532499990892
50,0.9,28,Horseshoe,6.741387699992629
50,0.9,28,Regularized Horseshoe,6.344836300006136
50,0.9,29,AEH,5.7193167000077665
50,0.9,29,Horseshoe,6.921936800004914
50,0.9,29,Regularized Horseshoe,6.819155199977104
200,0.5,0,AEH,90.27378039999167
200,0.5,0,Horseshoe,86.2049242000212
200,0.5,0,Regularized Horseshoe,83.31885280000279
200,0.5,1,AEH,89.77946609997889
200,0.5,1,Horseshoe,86.50050279998686
200,0.5,1,Regularized Horseshoe,83.54059980000602
200,0.5,2,AEH,88.83033460000297
200,0.5,2,Horseshoe,85.09990939998534
200,0.5,2,Regularized Horseshoe,85.81132799998159
200,0.5,3,AEH,84.84403529998963
200,0.5,3,Horseshoe,87.24373159999959
200,0.5,3,Regularized Horseshoe,83.30315440002596
200,0.5,4,AEH,87.6375684000086
200,0.5,4,Horseshoe,142.2556205999863
200,0.5,4,Regularized Horseshoe,179.0864450999943
200,0.5,5,AEH,203.38128979998874
200,0.5,5,Horseshoe,200.34504869999364
200,0.5,5,Regularized Horseshoe,173.11739699999453
