condition,replication,wall_clock_s,MSE_signal,FPR,bulk_ESS,converged_alpha,PICP_90,rhat_max,converged_ok
Correct,43,1.7428523999988101,,,,,,11.296416745891356,False
Correct,44,1.6480291000334546,0.01787320842064635,0.0,172.28804309029005,0.30920214116842615,0.93,1.033942584626493,True
Correct,45,1.587910100002773,,,,,,1.0640710866484737,False
Correct,46,1.611100299982354,0.015165166002006524,0.06666666666666667,144.92732828099005,0.2852891445065865,0.9566666666666667,1.0466946008097588,True
Correct,47,1.5348646000493318,,,,,,1.0512306040959543,False
Correct,48,1.6023616999736987,,,,,,2.3954313019024545,False
Correct,49,1.496746200020425,,,,,,1.0783842854539483,False
Fully swapped,0,1.5142679000273347,0.0007922856088307258,0.2,315.0810905781842,0.4456551876972695,0.9633333333333334,1.0021395662771815,True
Fully swapped,1,1.6452980999602005,0.006944375238051088,0.13333333333333333,304.39686929560094,0.4579689647096611,0.9566666666666667,1.0015599871855594,True
Fully swapped,2,1.5787632999708876,0.0030287043667376204,0.06666666666666667,310.2528117644078,0.46652655116143504,0.9433333333333334,1.0254937230388659,True
Fully swapped,3,1.6056926000164822,0.004871395125407291,0.06666666666666667,292.348622478478,0.4719413385836247,0.9466666666666667,1.0009684525485052,True
Fully swapped,4,1.547582200029865,0.009187890271651324,0.0,291.0514763029823,0.5191003160119488,0.9466666666666667,1.000608566638755,True
Fully swapped,5,1.596268399967812,0.005884140072664827,0.06666666666666667,264.8737384920273,0.5106231960732035,0.96,1.0040642458253726,True
Fully swapped,6,1.5675171000184491,0.03402164956542863,0.2,299.122802974574,0.45985390738013077,0.97,1.0011094600354626,True
Fully swapped,7,1.5518305000150576,0.012423896675443613,0.2,283.6944022447118,0.48882901871391343,0.9666666666666667,1.0077124285349954,True
Fully swapped,8,1.5913269000011496,0.021583357422940923,0.06666666666666667,284.81547759653677,0.45639532762615237,0.9533333333333334,1.003418214537874,True
Fully swapped,9,1.563218199997209,0.04880882818616986,0.13333333333333333,292.40827611740315,0.4723464779493117,0.9633333333333334,1.0020248796583107,True
Fully swapped,10,1.4902426000335254,0.0056663693777403755,0.06666666666666667,283.04335653645506,0.5008173579526247,0.9666666666666667,1.0053654458457024,True
Fully swapped,11,1.6094125999952666,0.0035879099534436,0.06666666666666667,204.34001751367467,0.4980183690236889,0.9633333333333334,1.0157913692190552,True
Fully swapped,12,1.703703899984248,0.02180663292594518,0.26666666666666666,306.4551833030364,0.4566527523215006,0.95,1.0014532169250279,True
Fully swapped,13,1.6621685000136495,0.006111935801945743,0.13333333333333333,304.2718368421332,0.46438243245400446,0.9766666666666667,1.0009622921028827,True
Fully swapped,14,1.4458301999839023,0.011333752872622746,0.13333333333333333,296.04095812094016,0.4774397496883392,0.96,1.00140319382292,True
Fully swapped,15,1.6096864999854006,0.00793899112659116,0.06666666666666667,292.84532571463967,0.49821967626063746,0.96,1.001568629487377,True
Fully swapped,16,1.6534932000213303,0.008719981610661624,0.2,198.6093457632451,0.47762427978499034,0.9566666666666667,1.02221674424789,True
Fully swapped,17,1.678942700033076,0.006111285172026623,0.4,287.22946344004356,0.42273536296159847,0.97,1.003010982821903,True
Fully swapped,18,1.6274024000158533,0.012052569958284074,0.13333333333333333,314.8874595529794,0.4735084937127153,0.9666666666666667,1.0008813940503531,True
Fully swapped,19,1.6847168000531383,0.0015713006648506102,0.13333333333333333,301.94006600037244,0.48903686317047124,0.9666666666666667,1.001274287644839,True
Fully swapped,20,1.53008639998734,,,,,,1.096890088100175,False
Fully swapped,21,1.5861094999709167,0.015393673870446462,0.0,318.94541948720536,0.508359894448459,0.96,1.00049442153277,True
Fully swapped,22,1.7361019999952987,0.00357834706285671,0.26666666666666666,302.21474869847265,0.43683964707849193,0.95,1.003904040378913,True
Fully swapped,23,1.5023790000122972,0.014658312508432036,0.06666666666666667,281.9850619941455,0.4920486839986158,0.9633333333333334,1.0014001576109666,True
Fully swapped,24,1.454280000005383,,,,,,1.6814706176554242,False
Fully swapped,25,1.5584529000334442,0.04819549308365352,0.06666666666666667,300.714951243151,0.4384922547698542,0.9466666666666667,1.0024342645154913,True
Fully swapped,26,1.574281900015194,0.010256850707161331,0.06666666666666667,305.2225074160074,0.48029793679853416,0.9533333333333334,1.00063753963434,True
Fully swapped,27,1.525810899969656,0.004698849865064573,0.13333333333333333,311.84867882369247,0.46805691878755307,0.9633333333333334,1.000613090852456,True
Fully swapped,28,1.5768005999852903,,,,,,1.1845043006667284,False
Fully swapped,29,1.5333942000288516,0.005749895189748198,0.06666666666666667,270.54955087490373,0.5257668715567597,0.9566666666666667,1.0051284552322348,True
Fully swapped,30,1.648402199964039,0.027148028027815248,0.06666666666666667,210.6553731750751,0.4621202031692309,0.97,1.0238950661551667,True
Fully swapped,31,1.5512864000047557,0.010043297937909609,0.13333333333333333,275.4862526217822,0.4757651366565139,0.9733333333333334,1.0012912800254128,True
Fully swapped,32,1.5643550000386313,,,,,,1.2614419275071165,False
Fully swapped,33,1.5545225000241771,0.0009257814980380844,0.0,304.0870065492681,0.5168477442095597,0.9666666666666667,1.0008756072223877,True
Fully swapped,34,1.568027000001166,,,,,,1.209508636426225,False
Fully swapped,35,1.6501238000346348,0.00581288768187367,0.2,295.9809684315272,0.4657713599170413,0.96,1.0005217164470543,True
Fully swapped,36,1.4868483999744058,,,,,,1.3002890666149758,False
Fully swapped,37,1.5109862000099383,,,,,,1.3037922585442214,False
