rho,group_size,replication,AEH_MSE,HS_MSE,MSE_ratio,AEH_alpha_star
0.4,5,8,0.00688508124887037,0.006940374028487387,0.9920331700582616,0.499875297881157
0.4,5,9,0.005756134005447401,0.006181274938721767,0.9312211578535153,0.4970789728348355
0.4,5,10,0.003998567202626278,0.006019912689708208,0.6642234545132736,0.4824075285448757
0.4,5,11,0.003634427988901355,0.004483591020925133,0.8106064919702325,0.48432662774934
0.4,5,12,0.005986763561211378,0.00657688823758513,0.910272965716317,0.46900773393528417
0.4,5,13,0.0036567668189341485,0.0035652346128936265,1.0256735435332915,0.4936956168679233
0.4,5,14,0.005266198342001796,0.004740966084778487,1.1107859132149538,0.4856846861839079
0.4,5,15,0.004405633681962427,0.004391377168367997,1.0032464789627096,0.4917665726727336
0.4,5,16,0.004689661232963596,0.004813605384181355,0.9742512854034382,0.48016697946204256
0.4,5,17,0.0031688681254950293,0.0029967856936499184,1.0574223349403153,0.4860473709806332
0.4,5,18,0.0044487995890884775,0.006697292022893597,0.6642684198152005,0.4908676018989575
0.4,5,19,0.012349836930655427,0.012220237162583681,1.01060533984304,0.4886736822920843
0.4,5,20,0.0009575864789090583,0.0006650985668374529,1.439766264213118,0.4666788615924775
0.4,5,21,0.007557889082987159,0.009129516003380956,0.8278521095957582,0.4837588868424384
0.4,5,22,0.006255202294473974,0.007613509725179007,0.8215924744651066,0.4848040046821215
0.4,5,23,0.0028820251340341734,0.0027762349886964028,1.0381056163359734,0.4762074751575227
0.4,5,24,0.006099147432750503,0.006445270845328237,0.9462980810451719,0.49991527007883263
0.4,5,25,0.010313408270973637,0.010167009811413615,1.014399362474862,0.4906255983619887
0.4,5,26,0.004994696801412817,0.005474352589303297,0.9123812761297634,0.4781912129149949
0.4,5,27,0.003425823677151327,0.003675573352369015,0.9320515056360615,0.489533713690242
0.4,5,28,0.008691352969644378,0.00747124865220955,1.1633066136908714,0.48518442050281585
0.4,5,29,0.0050810668830288085,0.005124931316789806,0.9914409713907202,0.5074968383874461
0.5,2,0,0.001571517445255141,0.0014486188881703617,1.0848384334129475,0.5367307470454051
0.5,2,1,0.0017680516093414936,0.0018219634811619217,0.9704100151414413,0.5323473888469964
0.5,2,2,0.00801154599418998,0.008138279054396048,0.9844275356793509,0.5397492184084511
0.5,2,3,0.005221619792975389,0.005796709930392955,0.9007902509659335,0.5369388359700749
0.5,2,4,0.0020900098188710043,0.0023442274664332323,0.8915558958324881,0.5336477216987322
0.5,2,5,0.0008256519248836065,0.0007569710992204426,1.0907311068201864,0.5295733387892081
0.5,2,6,0.0026323462844529853,0.0033653203046907195,0.7821978433327474,0.5332994845937332
0.5,2,7,0.005480161132361276,0.005845625607018052,0.937480690823235,0.5369844551165608
0.5,2,8,0.0012600574342965622,0.0013289936264100975,0.9481290273003438,0.5439325820643197
0.5,2,9,0.005747959855335515,0.005752322750858664,0.9992415419453823,0.5334678372929806
0.5,2,10,0.006413700467603899,0.006671255808335469,0.9613932746500644,0.532913309969915
0.5,2,11,0.003183389287378273,0.0033286139546252966,0.9563708290517663,0.5315606932510912
0.5,2,12,0.0010159133377059808,0.0011261468530332104,0.9021144400214571,0.5331653384029921
0.5,2,13,0.0036360891679966894,0.003685508900097489,0.9865907983292369,0.5385920422038886
0.5,2,14,0.001478537847467234,0.0014983922769753965,0.9867495115843496,0.5375070570331157
0.5,2,15,0.0035645634670227683,0.004060454606239687,0.8778730001180448,0.5334812236471103
0.5,2,16,0.004777271126255141,0.00509033242613331,0.9384988496486123,0.5290019384482479
0.5,2,17,0.006326621488213484,0.00662309913937444,0.9552358125823013,0.5369016748487592
0.5,2,18,0.008596764220864118,0.009360419834401659,0.9184165211552869,0.5411076813287007
0.5,2,19,0.012226363835531735,0.0109738112279326,1.1141401634840322,0.5302789288276687
0.5,2,20,0.002442480674974572,0.002509622475635424,0.9732462546408093,0.5308320922680403
0.5,2,21,0.004048695298519396,0.003871992765819928,1.0456360699480929,0.5400080927236199
0.5,2,22,0.004842990897273635,0.005371547750466955,0.9016006414264172,0.537624576261289
0.5,2,23,0.004387772892506776,0.00451238615692275,0.9723841754489924,0.5363428454672202
0.5,2,24,0.0019496308347451482,0.0026377750058625207,0.7391194587908541,0.5421106821263004
0.5,2,25,0.0010646266977685083,0.0012362624941898632,0.8611655718522547,0.531018449863409
0.5,2,26,0.004282578890539752,0.005393144856722156,0.7940782241741262,0.530354529647523
0.5,2,27,0.0030664937400169037,0.002873911608934672,1.0670104572748567,0.5356523506802839
0.5,2,28,0.005990325062996985,0.007085974075202612,0.8453777842569515,0.5311878895816484
0.5,2,29,0.0048817977604622715,0.004861259816201244,1.0042248192932581,0.5328242851308539
0.5,3,0,0.001855744123476007,0.002118665096868343,0.875902532315765,0.5192270889743521
0.5,3,1,0.0018435049215552632,0.0018120064097718839,1.0173832231572209,0.5161725967293611
0.5,3,2,0.008574965980930615,0.008921173108410525,0.9611926454881231,0.5159293016734101
0.5,3,3,0.006210531941650474,0.0067073345637007455,0.9259314385868114,0.5076421754939113
0.5,3,4,0.0026393690704242757,0.00258355215108303,1.0216047194239324,0.5033319513336053
0.5,3,5,0.0006681982554820465,0.0005440527118786502,1.2281866092987819,0.510481078376248
0.5,3,6,0.004017161341982408,0.004201347942620032,0.956160117383003,0.5095824709528245
0.5,3,7,0.0035400166522100212,0.004327762640397418,0.8179784674801255,0.5093322978482688
0.5,3,8,0.005105952820811516,0.004715810054368964,1.0827308059367455,0.522598983865145
0.5,3,9,0.005239777646646786,0.005576686629737359,0.9395861726757202,0.5161621969171386
0.5,3,10,0.005046840628856105,0.005392314604904099,0.9359321550464065,0.5115332781794822
0.5,3,11,0.0035094866913946616,0.0037121596784412464,0.9454029447537967,0.5132674499010075
0.5,3,12,0.0006916950181220773,0.001247687396358182,0.5543816665464718,0.5074531488167277
0.5,3,13,0.0037780819280856005,0.0035332816205255165,1.069284119934848,0.5147219312642763
0.5,3,14,0.0024234526698875404,0.001706524264465332,1.4201102910463612,0.5150698920075274
0.5,3,15,0.004527833448105121,0.004768038740344165,0.9496217825986654,0.5169716242601301
0.5,3,16,0.004584697099266248,0.005063512424328527,0.9054381060147642,0.514284730205996
0.5,3,17,0.004277324456679865,0.003877983842581735,1.1029763480995507,0.51238195633088
0.5,3,18,0.011628373196565504,0.011135418512236076,1.0442690756335515,0.5151045113466345
0.5,3,19,0.015336600440494392,0.013546703538230986,1.1321278565823802,0.5116352201920564
0.5,3,20,0.0022364588984283918,0.0020919186590644136,1.0690945791499475,0.5077671047487624
0.5,3,21,0.007827574983415764,0.007829184707597463,0.9997943944048048,0.5143599678095755
0.5,3,22,0.0038647279258837686,0.0042508326718811796,0.9091696202131281,0.5112340365275907
