replication,method,wall_clock_s,MSE_signal,FPR,bulk_ESS,converged_alpha,rhat_max,converged_ok,PICP_90
7,Horseshoe,263.83309349999763,0.02142037511784358,0.14583333333333334,247.867251939933,,1.0102241560914096,True,1.0
7,Regularized Horseshoe,270.744659900025,,,,,5.3367368232947765,False,
7,Bayesian Elastic Net,306.2339987999876,0.021419078765670663,0.14583333333333334,245.38208470252047,,1.0104597390019427,True,1.0
8,AEH,265.5416536999983,0.022346276804828435,0.19166666666666668,263.2204419728868,0.6057235608896661,1.0259803369436975,True,1.0
8,Horseshoe,265.3946810999769,0.022268785943769773,0.18333333333333332,253.44077308094018,,1.0071059714883486,True,1.0
8,Regularized Horseshoe,262.039410700032,,,,,23.47498598203181,False,
8,Bayesian Elastic Net,265.8813983,0.022432683517078684,0.1875,249.09983589720864,,1.0074406338102815,True,1.0
9,AEH,261.2428326999652,0.016698999355569826,0.15416666666666667,265.1908082982604,0.6056320271851908,1.0138351834621473,True,1.0
9,Horseshoe,263.05408400000306,0.016690694700472235,0.15833333333333333,254.2657153965169,,1.007566335884267,True,1.0
9,Regularized Horseshoe,270.7323871999979,,,,,10.75190692362274,False,
9,Bayesian Elastic Net,261.22920709999744,0.016708981132915027,0.15833333333333333,251.3798501099455,,1.0079628758036214,True,1.0
10,AEH,259.2705892000231,0.017799989530911327,0.2,254.62044056047947,0.6003721179135963,1.004806320898667,True,1.0
10,Horseshoe,273.6424861000269,0.017974250042853364,0.19583333333333333,240.56121885625282,,1.008541490102195,True,1.0
10,Regularized Horseshoe,264.36382470000535,,,,,1.057078055588716,False,
10,Bayesian Elastic Net,258.2255132999853,0.017942105610859675,0.2,237.89466804876662,,1.0088839042456395,True,1.0
11,AEH,310.9840862999554,0.018546048913937553,0.18333333333333332,258.5307720511833,0.6042522884599506,1.0151274551857115,True,1.0
11,Horseshoe,266.37119679996977,0.018600175699569885,0.175,242.6697538218307,,1.009875488370745,True,1.0
11,Regularized Horseshoe,278.44523730000947,,,,,1.0593897552761091,False,
11,Bayesian Elastic Net,307.3899183999747,0.018686233423901025,0.1875,239.90081734390503,,1.0099681014892132,True,1.0
12,AEH,292.3544021000271,0.014072203544982047,0.17916666666666667,258.074017313816,0.6019739729299407,1.009168012881452,True,1.0
12,Horseshoe,256.10074500000337,0.014096818349023899,0.17916666666666667,255.67441248306773,,1.0073650663399811,True,1.0
12,Regularized Horseshoe,259.09740530001,,,,,1.3398094112871521,False,
12,Bayesian Elastic Net,264.1501365000149,0.014238416038520498,0.1875,242.02463182927997,,1.009771015829713,True,1.0
