condition,replication,warmup_used,wall_clock_s,MSE_signal,FPR,bulk_ESS,converged_alpha,PICP_90,rhat_max,converged_ok
Partial swap,29,8000,5.88046509999549,,,,,,1.4973138257949783,False
Partial swap,30,8000,5.949796199973207,,,,,,1.5931742095825028,False
Partial swap,31,8000,5.839761099952739,,,,,,1.7078422633423826,False
Partial swap,32,8000,11.186511000036262,,,,,,1.119220710363825,False
Partial swap,33,8000,7.608292899967637,,,,,,1.2424765375732163,False
Partial swap,34,8000,6.8608729999978095,,,,,,1.839007132120737,False
Partial swap,35,8000,7.389648400014266,,,,,,1.3706155879539696,False
Partial swap,36,8000,6.590936299995519,,,,,,34.55191255786244,False
Partial swap,37,8000,8.341458399954718,,,,,,4.666159277541416,False
Partial swap,38,8000,7.493108999973629,,,,,,1.4861107631663009,False
Partial swap,39,8000,7.675275499990676,,,,,,127.01428871277152,False
Partial swap,40,8000,8.981444800039753,,,,,,1.4680790035146614,False
Partial swap,41,8000,7.40464989998145,,,,,,1.5263186805912579,False
Partial swap,42,8000,7.65448299999116,,,,,,1.5861097757801716,False
Partial swap,43,8000,9.195700199983548,,,,,,1.7723460653179866,False
Partial swap,44,8000,7.68193560000509,,,,,,1.601346691162102,False
Partial swap,45,8000,7.7395824999548495,,,,,,1.793656304067915,False
Partial swap,46,8000,6.8705003000213765,,,,,,1.408626263433382,False
Partial swap,47,8000,9.260641800006852,,,,,,2.037144430738385,False
Partial swap,48,8000,9.416710799967404,,,,,,1.463280313720033,False
Partial swap,49,8000,9.21148409997113,,,,,,1.4681810616784714,False
All AEH,0,4000,3.2354502000380307,0.0006798060223884431,0.13333333333333333,261.6844885596068,0.32979402752958664,0.96,1.0426444945417204,True
All AEH,1,8000,8.32601540000178,0.00571054841033931,0.06666666666666667,301.55746536925574,0.33810042717632915,0.9566666666666667,1.0010086593913938,True
All AEH,2,4000,3.486786999972537,0.002222731707308393,0.06666666666666667,296.6421561740186,0.33799002381756404,0.94,1.0019714500402952,True
All AEH,3,4000,4.841746099991724,0.004030786067028545,0.06666666666666667,273.1530142839073,0.3312278787785059,0.95,1.007657163310274,True
All AEH,4,8000,9.044323099951725,,,,,,1.0517785858189335,False
All AEH,5,4000,3.1982668999698944,0.005037778743443521,0.06666666666666667,301.92744532863924,0.35383124241490516,0.9633333333333334,1.0008413935159357,True
All AEH,6,4000,3.33593560004374,0.028515503739374077,0.2,301.3467521915362,0.3382364821740228,0.97,1.0008435263175612,True
All AEH,7,4000,3.1292589000076987,0.010478507441214997,0.2,310.06434467423935,0.35812401072348654,0.9666666666666667,1.0010924901828249,True
All AEH,8,8000,8.05320429999847,0.018059883407404324,0.06666666666666667,313.7270583894058,0.32248530538338294,0.96,1.0008678567105338,True
All AEH,9,4000,3.3834362999768928,0.04051076639908871,0.13333333333333333,306.82648127890013,0.3420002148493543,0.9633333333333334,1.0011118522322424,True
All AEH,10,4000,3.009093699976802,0.005085549420995255,0.0,270.60693963767255,0.34845891680765106,0.97,1.0062572342987175,True
All AEH,11,4000,3.614975900040008,0.0030806330624849063,0.06666666666666667,250.84874766501926,0.3382810165335912,0.9633333333333334,1.0031194304035962,True
All AEH,12,4000,3.320757900015451,0.018567999073111893,0.26666666666666666,92.9643016731894,0.33637046391964665,0.95,1.033775556006539,True
All AEH,13,4000,3.174415699962992,0.005045759303313461,0.13333333333333333,307.31914880761764,0.33279329257387225,0.9766666666666667,1.0007263279129743,True
All AEH,14,8000,8.14893739996478,0.009206143285475293,0.13333333333333333,303.70305670673827,0.3426935561636816,0.96,1.0012421939319143,True
All AEH,15,4000,3.320307500020135,0.007001987320593731,0.06666666666666667,277.8537287629983,0.3483399736665347,0.9566666666666667,1.0020245676300727,True
All AEH,16,8000,7.95226749998983,0.007785355571486194,0.3333333333333333,121.8882696502537,0.351790507294961,0.9566666666666667,1.015866880430377,True
All AEH,17,4000,3.0883922000066377,0.005025342298645805,0.4,269.0120359271625,0.32531889932232805,0.9666666666666667,1.0016850258585708,True
All AEH,18,4000,3.056056000001263,0.009421585006038721,0.13333333333333333,305.58057912970816,0.33283354214191685,0.9666666666666667,1.0021178495912542,True
All AEH,19,8000,7.731402400007937,0.0014717458280043942,0.13333333333333333,292.58694780924856,0.3419557372856583,0.97,1.0076771766602215,True
All AEH,20,8000,10.693184000032488,0.007958683975791605,0.13333333333333333,281.5670011489662,0.3175066979228389,0.9466666666666667,1.0017943965853622,True
All AEH,21,4000,2.87630869995337,0.013062744852906006,0.0,274.83278912592846,0.3381555069701956,0.96,1.0036596917736786,True
All AEH,22,4000,2.9733676000032574,0.0031316876839612958,0.26666666666666666,283.4060104158949,0.32649091443917955,0.95,1.0022167498794263,True
All AEH,23,4000,3.5422358000068925,0.013272148397245897,0.06666666666666667,267.8252263856424,0.351572848641161,0.9633333333333334,1.002711237946347,True
