method,s_0,replication,MSE_signal,FPR,bulk_ESS,converged_alpha
Horseshoe,2,27,0.003836445442300316,0.1111111111111111,5600.929681494394,
Regularized Horseshoe,2,27,0.0037415073712229402,0.1111111111111111,1260.7082591905562,
Bayesian Elastic Net,2,27,0.0005394043334186672,0.1111111111111111,2476.967447998671,
ARD,2,27,0.0031208650690217354,0.1111111111111111,350.5363367638107,
AEH,2,28,0.010824889627716648,0.2222222222222222,4935.535920634329,0.2210406604041414
Horseshoe,2,28,0.0011625823690131468,0.2222222222222222,3581.796592446284,
Regularized Horseshoe,2,28,0.0011820119507963641,0.2222222222222222,1332.8937381859723,
Bayesian Elastic Net,2,28,0.006929275755473307,0.2222222222222222,3027.4420457957167,
ARD,2,28,0.001804196758630326,0.2222222222222222,266.0426470021506,
AEH,2,29,0.013189410848239498,0.05555555555555555,2172.1077704402232,0.22858383584374076
Horseshoe,2,29,0.0033164374140743497,0.05555555555555555,3585.4943111310013,
Regularized Horseshoe,2,29,0.0034336131493336616,0.05555555555555555,4218.563149777248,
Bayesian Elastic Net,2,29,0.00880229900672512,0.05555555555555555,3780.1785978942935,
ARD,2,29,0.003643862894599528,0.05555555555555555,215.78171467870857,
AEH,2,30,0.007241934081284297,0.1111111111111111,2064.117492010718,0.217550265564523
Horseshoe,2,30,0.004414206672654435,0.16666666666666666,4328.3623566102415,
Regularized Horseshoe,2,30,0.005270569988399437,0.05555555555555555,1971.6841141826685,
Bayesian Elastic Net,2,30,0.004926174007852077,0.1111111111111111,5861.027798772351,
ARD,2,30,0.004534340509828864,0.1111111111111111,359.8441945192359,
AEH,2,31,0.005586811487344312,0.1111111111111111,798.4237352540965,0.22066546667147235
Horseshoe,2,31,0.005645433690866537,0.05555555555555555,3639.4006311403077,
Regularized Horseshoe,2,31,0.005407363678005822,0.0,2360.1078848857896,
Bayesian Elastic Net,2,31,0.003545626502202311,0.1111111111111111,3513.2472572678394,
ARD,2,31,0.0038492601541932157,0.16666666666666666,271.769780461002,
AEH,2,32,0.012291287622877171,0.1111111111111111,2506.8060490761154,0.21855468891964536
Horseshoe,2,32,0.0016584763875980941,0.05555555555555555,609.3296149137711,
Regularized Horseshoe,2,32,0.0016856446410593046,0.05555555555555555,3676.475458652219,
Bayesian Elastic Net,2,32,0.007804626910397148,0.05555555555555555,631.4571814359266,
ARD,2,32,0.0024392047255606974,0.05555555555555555,402.5181209831052,
AEH,2,33,0.009988128637275173,0.0,4886.836027976384,0.22573176152017416
Horseshoe,2,33,0.0002850871791129218,0.0,2517.9649512656115,
Regularized Horseshoe,2,33,0.00044695324708724865,0.0,4831.2358860347085,
Bayesian Elastic Net,2,33,0.005054634079111003,0.0,2413.9268218641796,
ARD,2,33,0.0006200061933771969,0.0,177.8050667643489,
AEH,2,34,0.016074394621061718,0.05555555555555555,2158.483385380081,0.22376551019982666
Horseshoe,2,34,0.004333268911779527,0.05555555555555555,5145.276868002145,
Regularized Horseshoe,2,34,0.0038435151268063753,0.05555555555555555,1141.9721229431398,
Bayesian Elastic Net,2,34,0.011331512144781935,0.05555555555555555,4943.522018157287,
ARD,2,34,0.00513090234964415,0.05555555555555555,312.82919744524696,
AEH,2,35,0.0103363765700292,0.16666666666666666,4513.015459635784,0.22019740168473484
Horseshoe,2,35,0.005689186596835834,0.16666666666666666,2792.1491795739034,
Regularized Horseshoe,2,35,0.006271169955998396,0.2222222222222222,1338.8725354041817,
Bayesian Elastic Net,2,35,0.007007389485206687,0.16666666666666666,2843.342774922617,
ARD,2,35,0.005724942807491177,0.16666666666666666,264.27262997399424,
AEH,2,36,0.0044064279272461255,0.16666666666666666,932.2540657819294,0.2177606415219584
Horseshoe,2,36,0.002980107687506501,0.1111111111111111,3376.582508110582,
Regularized Horseshoe,2,36,0.002553893844695897,0.1111111111111111,1402.2829414198732,
Bayesian Elastic Net,2,36,0.0025014103971808285,0.1111111111111111,3432.281143089068,
ARD,2,36,0.0021890552318003962,0.1111111111111111,337.3611171807692,
AEH,2,37,0.003839405795664172,0.0,3107.3188481836683,0.2223558257201801
Horseshoe,2,37,0.004528344832744499,0.0,962.0297569639284,
Regularized Horseshoe,2,37,0.004061842527556918,0.0,2006.4159788442296,
Bayesian Elastic Net,2,37,0.0021532615724627656,0.0,2225.811877365608,
ARD,2,37,0.003059746313983081,0.0,300.7238226754329,
AEH,2,38,0.00952151475670898,0.05555555555555555,3904.977010728071,0.21880678132609205
Horseshoe,2,38,0.0061307401713198645,0.05555555555555555,1042.476923746198,
Regularized Horseshoe,2,38,0.005721890791657725,0.05555555555555555,1330.3799130718571,
Bayesian Elastic Net,2,38,0.00773691829115854,0.05555555555555555,1280.3986354937888,
ARD,2,38,0.005755226347796377,0.05555555555555555,215.88926297829568,
AEH,2,39,0.012733204267793691,0.0,907.6393198104024,0.22478875463949738
Horseshoe,2,39,0.0004967812460523976,0.0,2848.0091565115954,
Regularized Horseshoe,2,39,0.00018184710804561644,0.0,1449.9305726563277,
Bayesian Elastic Net,2,39,0.007400075049206147,0.0,3403.5680824520227,
ARD,2,39,0.0006747381471597614,0.0,252.34298941640344,
AEH,2,40,0.026016553293323592,0.0,1777.6875368260855,0.22620439863293723
Horseshoe,2,40,0.0070017685576656335,0.0,3001.625398567116,
Regularized Horseshoe,2,40,0.006932313604569342,0.0,1739.128941100471,
Bayesian Elastic Net,2,40,0.01909295940869537,0.0,2867.5649700268114,
ARD,2,40,0.007887506129476116,0.0,382.99546639052954,
AEH,2,41,0.0019831887051170055,0.2777777777777778,2177.752321432642,0.21779013864949892
Horseshoe,2,41,0.001466867219067415,0.2222222222222222,3976.1638068056877,
Regularized Horseshoe,2,41,0.001467977498912123,0.16666666666666666,1498.4300765559697,
Bayesian Elastic Net,2,41,0.0002302483569003676,0.2777777777777778,3863.7092272509644,
ARD,2,41,0.0010394840109960901,0.2222222222222222,484.228152299523,
AEH,2,42,0.01755172143672422,0.05555555555555555,5128.607547588063,0.2226378825042712
Horseshoe,2,42,0.002791184309208338,0.05555555555555555,3359.515465856616,
Regularized Horseshoe,2,42,0.003446758107073209,0.05555555555555555,1293.1361774577815,
Bayesian Elastic Net,2,42,0.011291210787825922,0.05555555555555555,1839.94706465315,
ARD,2,42,0.0036555326273734483,0.05555555555555555,304.4096080011767,
AEH,2,43,0.005795629598979444,0.05555555555555555,2484.1200934961357,0.22174248565699844
Horseshoe,2,43,0.0003680670803546729,0.05555555555555555,5394.430646023764,
Regularized Horseshoe,2,43,0.00041078178722055354,0.05555555555555555,1802.3472505750972,
Bayesian Elastic Net,2,43,0.0030416072189941817,0.05555555555555555,5621.416910152596,
ARD,2,43,0.0003667879953185632,0.05555555555555555,270.7249005376765,
AEH,2,44,0.007340960514467224,0.1111111111111111,1988.1507009610036,0.22349197678745591
Horseshoe,2,44,0.0037406332836022295,0.1111111111111111,5807.058455054036,
Regularized Horseshoe,2,44,0.0037696895540945932,0.1111111111111111,3063.718372337402,
Bayesian Elastic Net,2,44,0.005663228906816835,0.1111111111111111,5792.095396279681,
ARD,2,44,0.00376437208767386,0.05555555555555555,182.26214971562825,
AEH,2,45,0.003639851047579862,0.2222222222222222,1001.3184698354605,0.21834173644642452
Horseshoe,2,45,0.0040957897164342685,0.2222222222222222,3468.7486552966207,
Regularized Horseshoe,2,45,0.0038713972298667697,0.2222222222222222,2985.07463642621,
Bayesian Elastic Net,2,45,0.002211051535728715,0.2222222222222222,3759.1853413214985,
ARD,2,45,0.0033131434017503293,0.2222222222222222,315.678696177847,
AEH,2,46,0.006727420510508866,0.16666666666666666,3299.734895845549,0.2151840280590513
Horseshoe,2,46,0.001157709317552139,0.1111111111111111,3934.362580944159,
Regularized Horseshoe,2,46,0.0011307129228513828,0.16666666666666666,1877.6302172247756,
Bayesian Elastic Net,2,46,0.002979172271284734,0.16666666666666666,3593.2020425006995,
ARD,2,46,0.0010830566613408647,0.16666666666666666,320.91795006971677,
AEH,2,47,0.008028844762622708,0.1111111111111111,2420.373617691003,0.22521737173621287
Horseshoe,2,47,0.00015972304891436427,0.1111111111111111,2947.0293808028205,
Regularized Horseshoe,2,47,0.00013549250025399813,0.1111111111111111,1069.0614769927658,
Bayesian Elastic Net,2,47,0.004126972982546216,0.1111111111111111,3009.375437866374,
ARD,2,47,0.000271891078410862,0.1111111111111111,179.08498512850764,
AEH,2,48,0.015393182487623608,0.05555555555555555,4244.384076400839,0.2229510468308345
Horseshoe,2,48,0.0016163863724044207,0.05555555555555555,1190.0486624884734,
Regularized Horseshoe,2,48,0.0019422780341132,0.05555555555555555,1673.3985562550101,
Bayesian Elastic Net,2,48,0.010033651709043495,0.05555555555555555,2593.301119176539,
ARD,2,48,0.002183392733459358,0.05555555555555555,252.72461642714484,
AEH,2,49,0.012679252758604445,0.16666666666666666,1944.1307452686626,0.22191697042698622
Horseshoe,2,49,0.003184106795816489,0.16666666666666666,5186.5057686127175,
Regularized Horseshoe,2,49,0.003755770855270877,0.16666666666666666,1395.590351036577,
Bayesian Elastic Net,2,49,0.010322640659600868,0.16666666666666666,5255.225506568942,
ARD,2,49,0.0049702680039640824,0.16666666666666666,267.7003732361069,
AEH,5,0,0.009396556069752116,0.13333333333333333,5163.767979395179,0.1578404610344349
Horseshoe,5,0,0.005151220678922478,0.13333333333333333,2214.7360392815763,
Regularized Horseshoe,5,0,0.005445988587744108,0.13333333333333333,5669.692223364687,
Bayesian Elastic Net,5,0,0.0063914611400742935,0.13333333333333333,2390.1374903624587,
ARD,5,0,0.00491686909809838,0.13333333333333333,311.31293612599484,
AEH,5,1,0.006183816988636133,0.06666666666666667,1754.8808867839155,0.15683920934235168
Horseshoe,5,1,0.0010510260633567674,0.13333333333333333,2742.8790561512533,
Regularized Horseshoe,5,1,0.0010114937038068108,0.06666666666666667,7908.251172780261,
Bayesian Elastic Net,5,1,0.0032349286929397878,0.13333333333333333,2776.509100471733,
ARD,5,1,0.0009072446477567378,0.13333333333333333,482.3055857408468,
AEH,5,2,0.013200885031305284,0.13333333333333333,4379.436266735554,0.15758044894935003
Horseshoe,5,2,0.004525827642454009,0.06666666666666667,765.8985308173076,
Regularized Horseshoe,5,2,0.0042342749141875335,0.06666666666666667,8000.0,
Bayesian Elastic Net,5,2,0.009955758304684828,0.13333333333333333,2072.6264601602243,
ARD,5,2,0.004678878038535554,0.13333333333333333,225.60035674030397,
AEH,5,3,0.010411655047175648,0.0,3237.4039593530442,0.15785634087732664
Horseshoe,5,3,0.0028877478797973933,0.0,448.6970534146395,
Regularized Horseshoe,5,3,0.002884703882261333,0.0,6548.144208837337,
Bayesian Elastic Net,5,3,0.006761829274045793,0.0,502.4733562440184,
ARD,5,3,0.0033114062920729485,0.0,377.304972873712,
AEH,5,4,0.013845201917711611,0.0,1809.299600540054,0.15863357881013995
Horseshoe,5,4,0.0038526614506621953,0.0,1085.8802335753667,
