method,n,replication,bulk_ESS_signal,bulk_ESS_null,bulk_ESS_all
AEH,200,19,5581.901660175723,2501.6999315777016,3271.7503637272066
Horseshoe,200,19,7279.749461023988,1780.6026032968073,3155.3893177286027
AEH,500,0,8000.0,966.1681453052823,2724.626108978962
Horseshoe,500,0,8000.0,328.95331974344634,2246.714989807585
AEH,500,1,7859.059881072009,5457.7050627527415,6058.04376733256
Horseshoe,500,1,8000.0,506.05265013311487,2379.5394875998363
AEH,500,2,7770.608329614454,6736.166698538147,6994.777106307223
Horseshoe,500,2,6163.434660594996,2341.698129997589,3297.13226264694
AEH,500,3,3527.5085818949874,2108.631007105149,2463.350400802609
Horseshoe,500,3,7657.061587887484,7545.933408699143,7573.715453496227
AEH,500,4,5027.356008425601,7217.305891097069,6669.818420429203
Horseshoe,500,4,7194.953775158795,2238.547013939478,3477.648704244307
AEH,500,5,7224.751075274815,5740.272474793657,6111.392124913947
Horseshoe,500,5,8000.0,531.1203288028221,2398.340246602116
AEH,500,6,3740.416949091296,4795.843587234022,4531.986927698341
Horseshoe,500,6,7507.550158828692,3775.622256064935,4708.604231755873
AEH,500,7,3903.848458774555,5365.469787331279,5000.064455192098
Horseshoe,500,7,7630.095241544934,3205.956281708903,4311.991021667911
AEH,500,8,5112.100443341914,5072.973445518886,5082.755194974643
Horseshoe,500,8,6502.466352735595,2383.893574798788,3413.5367692829896
AEH,500,9,6360.313457746497,7867.670941671461,7490.831570690221
Horseshoe,500,9,8000.0,4567.776300638188,5425.832225478642
AEH,500,10,6863.807333053142,8000.0,7715.951833263285
Horseshoe,500,10,5730.431650773267,6203.204014656281,6085.010923685526
AEH,500,11,8000.0,693.1375105959345,2519.8531329469506
Horseshoe,500,11,8000.0,299.22411547300845,2224.4180866047564
AEH,500,12,3013.0677633130076,3335.578898412235,3254.951114637428
Horseshoe,500,12,7307.0896796092375,7276.155463585401,7283.88901759136
AEH,500,13,4807.657635735228,6247.883547374833,5887.827069464933
Horseshoe,500,13,7222.24128739739,2169.2925293168096,3432.529718836955
AEH,500,14,7070.30994545508,3656.759333736699,4510.146986666294
Horseshoe,500,14,8000.0,398.4722097618782,2298.854157321409
AEH,500,15,2217.8578731305756,2261.3957382199596,2250.5112719476137
Horseshoe,500,15,7292.103582846734,7543.394774246534,7480.571976396585
AEH,500,16,7862.452533653754,8000.0,7965.613133413438
Horseshoe,500,16,8000.0,2478.005368547902,3858.5040264109266
AEH,500,17,5049.4422778451535,6531.349424406333,6160.872637766039
Horseshoe,500,17,6519.243159133551,3763.0333147407887,4452.085775838979
AEH,500,18,5344.6828010996815,3073.5549057148687,3641.336879561071
Horseshoe,500,18,7084.31841486139,6899.373979410653,6945.610088273339
AEH,500,19,4019.403839772781,4622.139725492519,4471.455754062583
Horseshoe,500,19,6469.337638421025,1763.4319264931612,2939.908354475127
AEH,1000,0,8000.0,8000.0,8000.0
Horseshoe,1000,0,8000.0,1363.147921385705,3022.3609410392787
AEH,1000,1,1099.1100062139474,899.7236170370419,949.5702143312683
Horseshoe,1000,1,5697.63199678572,6764.131846844128,6497.506884329526
AEH,1000,2,112.57402923421928,89.88511931006205,95.55734679110137
Horseshoe,1000,2,6185.425896257442,8000.0,7546.356474064361
AEH,1000,3,8000.0,8000.0,8000.0
