rho,group_size,replication,AEH_MSE,HS_MSE,MSE_ratio,AEH_alpha_star,rhat_max,converged
0.9,3,0,0.007209132849648715,0.00839636052401045,0.8586021085008549,0.6145346834003481,1.0286348753298777,True
0.9,3,1,0.003377594576288371,0.0034066161765242747,0.9914808130026805,0.6112689943844826,1.031272339016926,True
0.9,3,2,0.008831288056384258,0.009642405057312401,0.9158802190836169,0.6121938468910734,1.0030527687985502,True
0.9,3,3,0.003910715826828294,0.004213885052624803,0.9280546996393111,0.6056380721562856,1.1874993731779866,False
0.9,3,4,0.005672306609801755,0.006045530627129465,0.938264473319702,0.6105981490281384,1.0110746136645758,True
0.9,3,5,0.00205288071271188,0.0021270823669598685,0.9651157588438659,0.6164266032466367,1.0096433956434907,True
0.9,3,6,0.008575450879479214,0.009828189690467667,0.8725361586983327,0.614006318406258,1.0119905822176618,True
0.9,3,7,0.01079318948808178,0.011738044083285538,0.9195049372365887,0.6123496675246285,1.074550179427434,True
0.9,3,8,0.004991423068312954,0.005011279129368552,0.996037725989113,0.6116143987450636,1.034725018187105,True
0.9,3,9,0.0016494962232656654,0.0018355341589007472,0.8986464323025756,0.6092952035864948,1.1757856939153766,False
0.9,5,0,0.009304026786040169,0.010980003667790162,0.8473609907192954,0.5704700723054886,1.0298578500155748,True
0.9,5,1,0.003925799262690028,0.004198567786962201,0.9350329593059804,0.5672947446308849,1.0204157567575733,True
0.9,5,2,0.011388377489751753,0.012485010846890826,0.9121640044540154,0.5690962825834075,1.0353627091841902,True
0.9,5,3,0.0038973232311823613,0.004200369955807114,0.927852373049716,0.5628164098894014,1.086283154699657,True
0.9,5,4,0.007791151305703163,0.009315804378321038,0.8363369376705762,0.5642573332107256,1.0057697009357596,True
0.9,5,5,0.01197490760932124,0.012905687058249484,0.9278783496975251,0.5738434628091135,1.0310201958863108,True
0.9,5,6,0.012958810800628332,0.013904790649742343,0.9319673432744894,0.5690790026105804,1.0078447257347456,True
0.9,5,7,0.016233563288823215,0.01982768837225688,0.8187320167658775,0.5703768614754098,1.1103530641323682,False
0.9,5,8,0.008727551969154245,0.009916421105004167,0.8801110679688685,0.5705525778158757,1.0093543350501293,True
0.9,5,9,0.007200821347795243,0.007750295056226157,0.9291028658335404,0.5654120228770351,1.1959560644532383,False
0.9,10,0,0.016980836897789706,0.020408403074839175,0.8320512308346556,0.3836230968966074,1.020871508106422,True
0.9,10,1,0.003918784847781737,0.004563072359910096,0.8588040115714813,0.3823038715904623,1.078701746312611,True
0.9,10,2,0.013211124903211083,0.018019538064203696,0.7331555812440799,0.3828921514711234,1.0561953204519283,True
0.9,10,3,0.008872992124898086,0.010637639799443478,0.834112857004454,0.3875957916329984,1.0333312054468407,True
0.9,10,4,0.014305515975977531,0.018766520936547505,0.7622891863839164,0.3916120544404115,1.0106088759091365,True
0.9,10,5,0.0421303921300034,0.05145867382577204,0.8187228507413117,0.3935993522621598,1.0235565809167924,True
0.9,10,6,0.03066214793853298,0.03640163232847735,0.8423289280504512,0.3886324883125151,1.0105560266693931,True
0.9,10,7,0.021045674484717114,0.027037458112992956,0.7783895363522925,0.3883399964292631,1.0645747863291177,True
0.9,10,8,0.022770742949350716,0.02717562211388775,0.8379106411593066,0.38939542225453405,1.0070719128177776,True
0.9,10,9,0.013870922744673905,0.017172374204102576,0.8077463593450034,0.3930658438585021,1.0828595556721177,True
