method,rho,replication,MSE_signal,FPR,converged_alpha,bulk_ESS
Bayesian Elastic Net,0.5,30,0.0029712132054039346,0.2,,1364.6189462966297
Bayesian Elastic Net (alpha=0.1),0.5,30,0.002947770426209845,0.26666666666666666,,1364.333615191844
Bayesian Elastic Net (alpha=0.9),0.5,30,0.002995027964891356,0.2,,1364.8549417953423
AEH,0.5,31,0.00869358117489062,0.06666666666666667,0.45640998928900256,573.9256217414334
Horseshoe,0.5,31,0.00955266201371333,0.06666666666666667,,1116.6761809254676
Bayesian Elastic Net,0.5,31,0.009225348295552821,0.06666666666666667,,1148.5627767163094
Bayesian Elastic Net (alpha=0.1),0.5,31,0.009172068209849699,0.06666666666666667,,1150.1033698352524
Bayesian Elastic Net (alpha=0.9),0.5,31,0.009259905691656444,0.06666666666666667,,1154.0471153779836
AEH,0.5,32,0.002189640598889412,0.3333333333333333,0.46644000462069435,620.0774272656602
Horseshoe,0.5,32,0.0019902140509349886,0.26666666666666666,,918.5149009166446
Bayesian Elastic Net,0.5,32,0.0019171008618025156,0.26666666666666666,,989.2616138236757
Bayesian Elastic Net (alpha=0.1),0.5,32,0.0019067439472298762,0.26666666666666666,,985.5283069585548
Bayesian Elastic Net (alpha=0.9),0.5,32,0.0019245027187716358,0.26666666666666666,,988.7374653449508
AEH,0.5,33,0.004161841825802164,0.0,0.4829637535021728,735.6463189245612
Horseshoe,0.5,33,0.004360781793212405,0.0,,1667.4002701937854
Bayesian Elastic Net,0.5,33,0.004173962141142222,0.0,,1687.2336420376748
Bayesian Elastic Net (alpha=0.1),0.5,33,0.004148103259034743,0.0,,1691.4544424487547
Bayesian Elastic Net (alpha=0.9),0.5,33,0.004200077906370182,0.0,,1686.7412204599382
AEH,0.5,34,0.004963517194127533,0.06666666666666667,0.46107280107270976,1177.397404390335
Horseshoe,0.5,34,0.006121405184044383,0.06666666666666667,,2640.40464880205
Bayesian Elastic Net,0.5,34,0.005999748616924443,0.06666666666666667,,2763.330763935885
Bayesian Elastic Net (alpha=0.1),0.5,34,0.005976556480817739,0.06666666666666667,,2766.2485622982085
Bayesian Elastic Net (alpha=0.9),0.5,34,0.006023109166461946,0.06666666666666667,,2762.260917285922
AEH,0.5,35,0.004846031914609374,0.13333333333333333,0.480072863427615,444.7461416456895
Horseshoe,0.5,35,0.005116593605466582,0.13333333333333333,,1210.8431723049312
Bayesian Elastic Net,0.5,35,0.004986953394875389,0.13333333333333333,,1252.578087054935
Bayesian Elastic Net (alpha=0.1),0.5,35,0.00493527237879728,0.13333333333333333,,1247.0545803486677
Bayesian Elastic Net (alpha=0.9),0.5,35,0.005009148806460633,0.13333333333333333,,1250.5549739067183
AEH,0.5,36,0.0015420992811280676,0.2,0.46106440382188507,281.952751613757
Horseshoe,0.5,36,0.0017469144334380468,0.2,,610.681799233302
Bayesian Elastic Net,0.5,36,0.0017235265602004932,0.2,,556.8915502057345
Bayesian Elastic Net (alpha=0.1),0.5,36,0.001715654455642294,0.2,,556.9028167210358
Bayesian Elastic Net (alpha=0.9),0.5,36,0.001731462268342359,0.2,,556.8318719350141
AEH,0.5,37,0.004305500768564998,0.06666666666666667,0.4726053815248763,706.4945548903627
Horseshoe,0.5,37,0.004280569427094055,0.06666666666666667,,2954.4673228946986
Bayesian Elastic Net,0.5,37,0.00412873180701144,0.06666666666666667,,3080.3332969743083
Bayesian Elastic Net (alpha=0.1),0.5,37,0.0042377628560239375,0.06666666666666667,,1358.5789931264742
Bayesian Elastic Net (alpha=0.9),0.5,37,0.0041557682544835755,0.06666666666666667,,3080.6537396348963
AEH,0.5,38,0.00618640016702895,0.3333333333333333,0.45070427939108293,878.7778068593174
Horseshoe,0.5,38,0.006165922402466656,0.3333333333333333,,3426.0484897140136
Bayesian Elastic Net,0.5,38,0.0059423273885345455,0.3333333333333333,,3472.935993410903
Bayesian Elastic Net (alpha=0.1),0.5,38,0.005909156285548717,0.3333333333333333,,3473.365131198528
Bayesian Elastic Net (alpha=0.9),0.5,38,0.0059758042453407125,0.3333333333333333,,3472.4057911390096
