YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,ENERGYSTARScore,Electricity(kWh),NaturalGas(kBtu),GHGEmissionsIntensity
2001.0,3.0,1.0,69881.0,91.0,373965.0,397060.0,0.41
1926.0,3.0,1.0,44324.0,88.4,238477.0,612929.0,0.84
2000.0,3.0,1.0,93079.0,46.0,528780.0,362774.0,0.52
1906.0,1.0,1.0,26440.0,91.0,65468.0,496530.0,1.04
1981.0,4.0,1.0,24570.0,72.0,208013.0,307259.0,0.17
1922.0,1.0,1.0,37400.0,76.0,234163.0,48285.0,0.19
2001.0,6.0,2.0,404916.0,78.2,4633381.0,1511154.0,0.92
1949.0,2.0,1.0,21364.0,51.0,39441.0,954710.0,2.4
1988.0,4.0,1.0,65103.0,27.0,783714.0,1814747.0,0.29
2005.0,9.0,1.0,168449.0,33.0,1815471.0,15280605.0,5.5
2004.0,3.0,1.0,49518.0,45.0,300597.0,891925.0,1.07
1961.0,2.0,1.0,56228.0,85.0,255430.0,1148610.0,1.17
1910.0,3.0,1.0,35520.0,99.0,114408.0,767282.0,1.21
1990.0,4.0,1.0,43228.0,100.0,279326.0,462067.4,0.13
1911.0,6.0,1.0,31008.0,82.0,301385.0,950047.0,0.19
2004.0,6.0,1.0,101192.0,99.2,511658.0,22010.0,0.19
1990.0,4.0,1.0,24153.0,92.8,131799.0,320958.6,0.16
2009.0,39.0,1.0,675497.0,70.0,5346920.0,6344469.0,2.0
1964.0,1.0,1.0,37247.0,51.0,145582.0,1310705.0,1.94
1969.0,4.0,1.0,32054.0,66.4,236572.0,820736.0,0.15
1927.0,3.0,1.0,92437.0,50.0,226211.0,4665115.0,2.72
1997.0,4.0,1.0,24837.0,93.0,137657.0,84320.0,0.35
2013.0,4.0,1.0,29158.0,100.0,145702.0,317267.0,0.68
1988.0,3.0,1.0,28841.0,99.0,222897.0,343067.2,0.15
1913.0,1.0,1.0,36000.0,17.0,161302.0,601860.0,0.97
1906.0,5.0,1.0,41920.0,95.0,233395.0,744861.2,0.11
1988.0,2.0,1.0,32961.0,64.0,122695.0,1638590.8,0.07
1976.0,3.0,1.0,20599.0,85.2,151412.0,646598.2,0.17
2014.0,4.0,1.0,112264.0,74.0,744131.0,1066045.4,0.17
1925.0,10.0,1.0,693450.0,92.0,11148790.0,2379542.0,0.5
1998.0,4.0,1.0,36666.0,84.0,237982.0,942911.8,0.16
